   3.1402089445708367e-02	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.2185779330236619e+04	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.8065540251357318e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	
   3.7206703829956794e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	
   6.0493784580011119e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	
   8.9168465179637645e+05	   0.0000000000000000e+00	   0.0000000000000000e+00	
   1.1916846517963763e+06	  -1.7324468228648862e+11	   6.9938000000000000e+08	
   1.4916846517963763e+06	  -7.6746873015908997e+11	   2.6645300000000000e+09	
   1.7916846517963763e+06	  -1.8093490833313066e+12	   5.4148700000000000e+09	
   2.0912134517985829e+06	  -3.2668446452134966e+12	   8.4509000000000000e+09	
   2.3912134517985834e+06	  -7.3871323355947246e+12	   1.7292660000000000e+10	
   2.6912134517985834e+06	  -1.3509217265136121e+13	   2.9183840000000000e+10	
   2.9912134517985834e+06	  -1.9549781043889566e+13	   3.9703270000000000e+10	
   3.2912134517985834e+06	  -2.8487808742072676e+13	   5.3580290000000000e+10	
   3.5912134517985834e+06	  -4.0952362010159742e+13	   6.6527605000000000e+10	
   3.8912134517985834e+06	  -5.4955857651297453e+13	   7.6798964200000000e+10	
   4.1912134517985834e+06	  -6.9558092651951773e+13	   8.9204600000000000e+10	
   4.4910673771905936e+06	  -7.8154455926160031e+13	   9.8588275000000000e+10	
   4.6641556594787193e+06	  -8.6686216137216000e+13	   1.0540563000000000e+11	
   4.7496795739342691e+06	  -8.8429850292143906e+13	   1.0619805500000000e+11	
   4.8594370826616604e+06	  -9.1165565297993469e+13	   1.1016166000000000e+11	
   5.0009466140134418e+06	  -9.7234547957731797e+13	   1.1980796500000000e+11	
   5.2948219850679254e+06	  -8.8513133296232594e+13	   1.1825583000000000e+11	
   5.5948219850679254e+06	  -8.0827071676582359e+13	   1.2561436500000000e+11	
   5.8948219850679254e+06	  -6.8939091961097250e+13	   1.3107737000000000e+11	
   6.1948219850679254e+06	  -5.6148088894327219e+13	   1.3527210500000000e+11	
   6.4948219850679254e+06	  -4.6722057452730836e+13	   1.4127610500000000e+11	
   6.7948219850679254e+06	  -3.3903044480669469e+13	   1.3482343000000000e+11	
   7.0948219850679254e+06	  -3.0914740615324406e+13	   1.4243743500000000e+11	
   7.3948219850679254e+06	  -2.8941491729298422e+13	   1.4921363500000000e+11	
   7.6948219850679254e+06	  -2.6420433533631727e+13	   1.5025410000000000e+11	
   7.9948219850679254e+06	  -2.6114957863460180e+13	   1.5401596500000000e+11	
   8.2948219850679254e+06	  -2.5886823439173812e+13	   1.5886329500000000e+11	
   8.5948219850679245e+06	  -2.5524790018149672e+13	   1.6371746000000000e+11	
   8.8948219850679245e+06	  -2.4455803111799090e+13	   1.7140902500000000e+11	
   9.1948219850679245e+06	  -2.2025551714073910e+13	   1.7050792500000000e+11	
   9.4948219850679245e+06	  -2.0185713074884055e+13	   1.7057842500000000e+11	
   9.7948219850679245e+06	  -1.8263198900186508e+13	   1.8122223000000000e+11	
   1.0094821985067924e+07	  -1.9770456024009320e+13	   1.8512417500000000e+11	
   1.0394821985067924e+07	  -2.2709410231879543e+13	   1.8898099000000000e+11	
   1.0694821985067924e+07	  -2.3933605842617086e+13	   1.9163719500000000e+11	
   1.0994821985067924e+07	  -2.5856192844633145e+13	   1.9347179000000000e+11	
   1.1294821985067924e+07	  -2.9445464415727211e+13	   1.9336095500000000e+11	
   1.1594821985067924e+07	  -3.0318087640754023e+13	   1.9592191500000000e+11	
   1.1894821985067924e+07	  -3.0689978018292723e+13	   1.9177325000000000e+11	
   1.2194821985067924e+07	  -3.1166275104404707e+13	   1.7956347500000000e+11	
   1.2494821985067924e+07	  -3.1345444881518312e+13	   1.6931017000000000e+11	
   1.2794821985067924e+07	  -3.2716225056251961e+13	   1.5903112500000000e+11	
   1.3094821985067924e+07	  -3.1669462798357961e+13	   1.5144235000000000e+11	
   1.3394821985067924e+07	  -3.3420862427979129e+13	   1.4116191500000000e+11	
   1.3694821985067924e+07	  -3.2977037760247930e+13	   1.3345174500000000e+11	
   1.3994821985067924e+07	  -3.3319668016130344e+13	   1.2352654000000000e+11	
   1.4294821985067924e+07	  -3.3727791192511539e+13	   1.2112780500000000e+11	
   1.4545925377634192e+07	   4.4228756473041885e+12	   6.2064395000000000e+10	
   1.4832210288046878e+07	   4.1540231454172407e+12	   4.7138220000000000e+10	
   1.5132210288046878e+07	   2.4596995331913091e+12	   2.8517580000000000e+10	
   1.5432210288046878e+07	   4.4099449201468463e+11	   1.6092445000000000e+10	
   1.5732210288046878e+07	   4.8990145950682080e+11	   1.5985350000000000e+10	
   1.6032167106104378e+07	   5.5662557453385254e+11	   1.5930650000000000e+10	
   1.6332154216040062e+07	   5.5675179400125403e+11	   1.5889585000000000e+10	
   1.6631877450025951e+07	   4.4157284225684601e+10	   1.5696785000000000e+10	
   1.6931877450025950e+07	  -1.1544901350024358e+12	   1.5169215000000000e+10	
   1.7231877450025950e+07	  -1.6039751655935122e+12	   1.4923845000000000e+10	
   1.7531722533848070e+07	  -1.8258739091591116e+12	   1.4797020000000000e+10	
   1.7831722533848070e+07	  -2.0458060881894106e+12	   1.4699185000000000e+10	
   1.8131722533848070e+07	  -2.3870610443620342e+12	   1.4574355000000000e+10	
   1.8431605444849633e+07	  -2.5283495648200317e+12	   1.4511350000000000e+10	
   1.8731493414933588e+07	  -2.6702343328271382e+12	   1.4467885000000000e+10	
